iter	Passed	Remaining
407	5445	7901
408	5458	7887
409	5471	7873
410	5485	7861
411	5499	7848
412	5513	7836
413	5526	7822
414	5539	7808
415	5552	7795
416	5565	7780
417	5579	7769
418	5592	7755
419	5605	7741
420	5620	7729
421	5633	7716
422	5646	7702
423	5661	7691
424	5675	7678
425	5689	7665
426	5703	7653
427	5716	7639
428	5730	7627
429	5742	7612
430	5756	7599
431	5770	7586
432	5784	7574
433	5796	7559
434	5809	7545
435	5822	7531
436	5835	7518
437	5849	7505
438	5862	7492
439	5876	7478
440	5889	7465
441	5903	7452
442	5917	7439
443	5929	7425
444	5942	7411
445	5956	7398
446	5969	7385
447	5984	7374
448	5998	7361
449	6012	7348
450	6024	7333
451	6038	7320
452	6050	7305
453	6064	7293
454	6078	7281
455	6092	7268
456	6105	7254
457	6119	7242
458	6133	7228
459	6146	7215
460	6160	7202
461	6174	7190
462	6187	7176
463	6201	7164
464	6216	7151
465	6228	7137
466	6241	7123
467	6254	7110
468	6268	7097
469	6282	7084
470	6295	7070
471	6309	7057
472	6322	7044
473	6336	7031
474	6348	7017
475	6362	7004
476	6377	6992
477	6390	6978
478	6405	6966
479	6418	6953
480	6431	6939
481	6444	6925
482	6457	6912
483	6470	6898
484	6483	6884
485	6497	6871
486	6511	6859
487	6524	6845
488	6537	6831
489	6551	6819
490	6566	6807
491	6578	6792
492	6593	6780
493	6606	6767
494	6619	6753
495	6632	6739
496	6646	6726
497	6660	6714
498	6674	6701
499	6687	6687
500	6700	6674
501	6713	6660
502	6726	6646
503	6739	6632
504	6751	6618
505	6765	6605
506	6777	6590
507	6790	6576
508	6804	6563
509	6818	6550
510	6831	6536
511	6843	6522
512	6858	6511
513	6872	6498
514	6888	6487
515	6901	6473
516	6915	6460
517	6929	6447
518	6942	6434
519	6956	6421
520	6971	6409
521	6984	6396
522	7000	6384
523	7014	6371
524	7026	6357
525	7040	6344
526	7056	6333
527	7069	6320
528	7081	6305
529	7095	6292
530	7109	6279
531	7122	6265
532	7135	6251
533	7150	6239
534	7163	6226
535	7176	6212
536	7189	6198
537	7204	6186
538	7217	6173
539	7231	6160
540	7244	6146
541	7257	6132
542	7270	6119
543	7283	6104
544	7297	6092
545	7311	6079
546	7326	6067
547	7339	6053
548	7353	6040
549	7367	6027
550	7379	6013
551	7392	5999
552	7407	5987
553	7420	5973
554	7432	5959
555	7445	5945
556	7459	5933
557	7471	5918
558	7485	5905
559	7498	5891
560	7512	5878
561	7524	5864
562	7538	5851
563	7550	5837
564	7564	5823
565	7578	5810
566	7592	5797
567	7604	5783
568	7618	5771
569	7632	5757
570	7645	5744
571	7660	5731
572	7673	5718
573	7685	5704
574	7698	5690
575	7710	5675
576	7723	5661
577	7736	5648
578	7749	5634
579	7762	5621
580	7775	5607
581	7787	5593
582	7801	5579
583	7813	5566
584	7826	5552
585	7841	5539
586	7854	5526
587	7868	5513
588	7881	5499
589	7895	5487
590	7910	5474
591	7923	5460
592	7938	5448
593	7954	5437
594	7968	5423
595	7981	5410
596	7994	5396
597	8007	5382
598	8020	5369
599	8032	5355
600	8048	5343
601	8062	5330
602	8076	5317
603	8088	5303
604	8100	5289
605	8114	5275
606	8127	5261
607	8141	5249
608	8154	5235
609	8167	5222
610	8180	5208
611	8193	5194
612	8206	5180
613	8218	5166
614	8232	5153
615	8245	5140
616	8258	5126
617	8270	5111
618	8284	5098
619	8297	5085
620	8311	5072
621	8323	5058
622	8338	5045
623	8351	5032
624	8364	5018
625	8377	5005
626	8390	4991
627	8404	4978
628	8416	4964
629	8429	4950
630	8444	4938
631	8456	4924
632	8469	4910
633	8483	4897
634	8495	4883
635	8509	4869
636	8522	4856
637	8536	4843
638	8549	4830
639	8563	4816
640	8576	4803
641	8589	4789
642	8602	4776
643	8614	4762
644	8629	4749
645	8642	4735
646	8655	4722
647	8668	4708
648	8680	4694
649	8694	4681
650	8707	4668
651	8720	4654
652	8734	4641
653	8747	4627
654	8760	4614
655	8773	4600
656	8787	4587
657	8799	4573
658	8812	4560
659	8825	4546
660	8840	4533
661	8854	4520
662	8868	4507
663	8880	4493
664	8893	4480
665	8906	4466
666	8920	4453
667	8933	4440
668	8948	4427
669	8962	4414
670	8976	4401
671	8989	4387
672	9002	4374
673	9016	4360
674	9031	4348
675	9044	4335
676	9059	4322
677	9073	4309
678	9087	4295
679	9100	4282
680	9113	4268
681	9126	4255
682	9138	4241
683	9151	4227
684	9165	4214
685	9178	4201
686	9190	4187
687	9203	4173
688	9216	4160
689	9229	4146
690	9242	4133
691	9256	4120
692	9270	4106
693	9282	4093
694	9295	4079
695	9309	4066
696	9322	4052
697	9336	4039
698	9349	4025
699	9363	4012
700	9376	3999
701	9389	3986
702	9402	3972
703	9415	3958
704	9427	3945
705	9440	3931
706	9454	3918
707	9466	3904
708	9480	3891
709	9492	3877
710	9505	3863
711	9519	3850
712	9531	3836
713	9545	3823
714	9559	3810
715	9572	3797
716	9586	3783
717	9599	3770
718	9613	3757
719	9625	3743
720	9638	3729
721	9651	3716
722	9664	3702
723	9684	3691
724	9697	3678
725	9709	3664
726	9722	3650
727	9735	3637
728	9747	3623
729	9760	3610
730	9773	3596
731	9787	3583
732	9799	3569
733	9812	3556
734	9825	3542
735	9837	3528
736	9851	3515
737	9864	3501
738	9877	3488
739	9890	3475
740	9904	3461
741	9917	3448
742	9930	3434
743	9944	3421
744	9957	3408
745	9971	3395
746	9984	3381
747	9996	3367
748	10009	3354
749	10022	3340
750	10035	3327
751	10047	3313
752	10059	3299
753	10072	3286
754	10085	3272
755	10099	3259
756	10113	3246
757	10126	3232
758	10138	3219
759	10151	3205
760	10164	3192
761	10178	3179
762	10191	3165
763	10205	3152
764	10219	3139
765	10233	3126
766	10245	3112
767	10257	3098
768	10271	3085
769	10283	3071
770	10296	3058
771	10309	3044
772	10323	3031
773	10335	3017
774	10350	3004
775	10365	2992
776	10377	2978
777	10390	2964
778	10404	2951
779	10418	2938
780	10430	2924
781	10443	2911
782	10457	2898
783	10471	2885
784	10485	2871
785	10499	2858
786	10511	2844
787	10525	2831
788	10538	2818
789	10553	2805
790	10567	2792
791	10579	2778
792	10592	2765
793	10605	2751
794	10619	2738
795	10631	2724
796	10644	2711
797	10659	2698
798	10672	2684
799	10684	2671
800	10697	2657
801	10711	2644
802	10725	2631
803	10738	2617
804	10751	2604
805	10763	2590
806	10777	2577
807	10789	2563
808	10804	2550
809	10817	2537
810	10830	2523
811	10843	2510
812	10857	2497
813	10871	2484
814	10885	2470
815	10898	2457
816	10912	2444
817	10925	2430
818	10939	2417
819	10953	2404
820	10967	2391
821	10980	2377
822	10993	2364
823	11006	2350
824	11020	2337
825	11033	2324
826	11047	2311
827	11060	2297
828	11072	2283
829	11085	2270
830	11098	2257
831	11111	2243
832	11124	2230
833	11138	2217
834	11151	2203
835	11164	2190
836	11178	2176
837	11190	2163
838	11202	2149
839	11214	2136
840	11227	2122
841	11240	2109
842	11253	2095
843	11266	2082
844	11279	2069
845	11291	2055
846	11306	2042
847	11318	2028
848	11333	2015
849	11346	2002
