iter	Logloss
0	0.6077572876
1	0.5448873178
2	0.4909906577
3	0.447316553
4	0.4110178342
5	0.3807471756
6	0.357101559
7	0.3362804581
8	0.3194809775
9	0.3052363229
10	0.2919944156
11	0.2816336396
12	0.2721430457
13	0.2626720507
14	0.2550856612
15	0.2471825704
16	0.2418612945
17	0.2371091433
18	0.2314514092
19	0.2279316424
20	0.2239358448
21	0.2207414549
22	0.2175349504
23	0.2140597938
24	0.2112524696
25	0.2082793843
26	0.2058816682
27	0.2032120341
28	0.2011003089
29	0.1994965847
30	0.1973073268
31	0.1959736864
32	0.1943261062
33	0.1932653067
34	0.1920462172
35	0.1908566281
36	0.1896437107
37	0.1883424214
38	0.1870091046
39	0.1860736136
40	0.1847740623
41	0.1834262302
42	0.1824784227
43	0.1819364228
44	0.1802388773
45	0.1794650934
46	0.1785665183
47	0.1774075641
48	0.1765322566
49	0.1757716418
50	0.1750041783
51	0.1742250071
52	0.1736848267
53	0.1728857011
54	0.1721456907
55	0.1714473133
56	0.1707096647
57	0.1700206893
58	0.1695950879
59	0.1688817805
60	0.1683307626
61	0.1676581032
62	0.1670448597
63	0.1663959137
64	0.1656700375
65	0.1651253263
66	0.1647309189
67	0.1640752159
68	0.1635972618
69	0.1630496803
70	0.1628000178
71	0.1626308557
72	0.1620217333
73	0.161558451
74	0.1611458928
75	0.1609017221
76	0.1603649966
77	0.1597486452
78	0.1594166011
79	0.1589444797
80	0.1587192843
81	0.1579986456
82	0.1575084546
83	0.1571201031
84	0.1565109003
85	0.1560738496
86	0.1553685739
87	0.1551721621
88	0.1546413348
89	0.1542552842
90	0.1539430119
91	0.1535155522
92	0.1530438634
93	0.1527411991
94	0.1523749257
95	0.151973706
96	0.1516636616
97	0.151446445
98	0.1511554695
99	0.1507658281
100	0.1504105175
101	0.1498477064
102	0.1493889296
103	0.1490373795
104	0.1487295117
105	0.1483704879
106	0.1479654003
107	0.1475477283
108	0.1470092585
109	0.1467595936
110	0.1460998463
111	0.1457080141
112	0.1454691478
113	0.145139414
114	0.1448683478
115	0.144436168
116	0.1440696395
117	0.1434875901
118	0.143118554
119	0.1428817048
120	0.1424320199
121	0.1421385367
122	0.1415534053
123	0.1412909549
124	0.1409737287
125	0.1406767892
126	0.1403057945
127	0.1399718547
128	0.1397171955
129	0.1393687928
130	0.1391463411
131	0.1387649888
132	0.1383944875
133	0.1379601936
134	0.1375929176
135	0.1373529139
136	0.1370615534
137	0.1368512098
138	0.1366163621
139	0.1363578421
140	0.1360823597
141	0.1359412596
142	0.1356732649
143	0.1353637719
144	0.1350939482
145	0.1348609413
146	0.134612754
147	0.1343992644
148	0.1341171442
149	0.1339118172
150	0.133648415
151	0.1333402676
